sinai_med,mover_med,,,,,
Warfarin,WARFARIN SODIUM 2.5 MG OR TABS,,,,,
Warfarin,WARFARIN SODIUM 2 MG OR TABS,,,,,
Warfarin,WARFARIN SODIUM 5 MG OR TABS,,,,,
Warfarin,WARFARIN SODIUM 1 MG OR TABS,,,,,
Warfarin,WARFARIN SODIUM 10 MG OR TABS,,,,,
Warfarin,WARFARIN SODIUM 7.5 MG OR TABS,,,,,
Warfarin,WARFARIN 0.5 MG OR TAB (HALF TABLET),,,,,
Warfarin,WARFARIN 1.25 MG OR TAB (HALF TABLET),,,,,
Warfarin,WARFARIN PER PHARMACY - UCI,,,,,
Famotidine,FAMOTIDINE 20 MG OR TABS,,,,,
Famotidine,FAMOTIDINE 20 MG/2ML IV SOLN,,,,,
Famotidine,FAMOTIDINE 40 MG/5ML OR SUSR,,,,,
Famotidine,FAMOTIDINE (PF) 20 MG/2ML IV SOLN,,,,,
Famotidine,FAMOTIDINE IN NACL 20 MG/50ML IV SOLN,,,,,
Aspirin,ASPIRIN EC 81 MG OR TBEC,,,,,
Aspirin,ASPIRIN 81 MG OR CHEW,,,,,
Aspirin,ASPIRIN 300 MG RE SUPP,,,,,
Aspirin,ASPIRIN 325 MG OR TABS,,,,,
Aspirin,ASPIRIN EC 325 MG OR TBEC,,,,,
Aspirin,ASPIRIN 81 MG OR TABS,,,,,
Aspirin,ASPIRIN 600 MG RE SUPP,,,,,
Emtricitabine,EMTRICITABINE-TENOFOVIR 200-300 MG OR TABS,,,,,
Emtricitabine,EMTRICITABINE-TENOFOVIR AF 200-25 MG PO TABS,,,,,
Atenolol,ATENOLOL 25 MG OR TABS,,,,,
Atenolol,ATENOLOL 50 MG OR TABS,,,,,
Atenolol,ATENOLOL 12.5 MG OR TABS (HALF TABLET),,,,,
Etomidate,ETOMIDATE 2 MG/ML IV SOLN,,,,,
Hydralazine,HYDRALAZINE HCL 20 MG/ML IJ SOLN,,,,,
Hydralazine,HYDRALAZINE HCL 25 MG OR TABS,,,,,
Hydralazine,HYDRALAZINE HCL 50 MG OR TABS,,,,,
Hydralazine,HYDRALAZINE HCL 10 MG OR TABS,,,,,
Ketorolac,KETOROLAC TROMETHAMINE 30 MG/ML IJ SOLN,,,,,
Ketorolac,KETOROLAC TROMETHAMINE 15 MG/ML IJ SOLN,,,,,
Ketorolac,KETOROLAC TROMETHAMINE 60 MG/2ML IM SOLN,,,,,
Calcium chloride,CALCIUM CHLORIDE 10 % IV SOLN,,,,,
Calcium chloride,CALCIUM CHLORIDE IVPB <=2000 MG (UCI),,,,,
Calcium chloride,CALCIUM CHLORIDE IVPB <=4000 MG (UCI),,,,,
Hydromorphone,HYDROMORPHONE HCL 2 MG/ML IJ SOLN,,,,,
Hydromorphone,HYDROMORPHONE HCL 2 MG OR TABS,,,,,
Hydromorphone,HYDROMORPHONE HCL 1 MG/ML IJ SOLN,,,,,
Hydromorphone,HYDROMORPHONE HCL 4 MG OR TABS,,,,,
Hydromorphone,HYDROMORPHONE HCL PF 2 MG/ML IJ SOLN,,,,,
Hydromorphone,HYDROMORPHONE 0.5 MG/ML PREMIX PCA INFUSION - NAIVE (UCI),,,,,
Hydromorphone,HYDROMORPHONE 0.5 MG/ML PREMIX PCA INFUSION - HIGH DOSE (UCI),,,,,
Hydromorphone,HYDROMORPHONE 0.5 MG/ML NS PREMIX INFUSION (UCI),,,,,
Hydromorphone,HYDROMORPHONE DOSE FROM BAG (UCI),,,,,
Hydromorphone,HYDROMORPHONE 10 MCG/ML BUPIVACAINE 0.1% PAIN MANAGEMENT PCEA (UCI),,,,,
Iron,IRON SUCROSE IVPB 200 MG (UCI),,,,,
Iron,IRON SUCROSE 20 MG/ML IV SOLN,,,,,
Iron,IRON SUCROSE IVPB 300 MG (UCI),,,,,
Iron,IRON DEXTRAN IVPB (UCI),,,,,
Cefazolin,CEFAZOLIN IV PUSH 1 GM IN SWFI 10 ML,,,,,
Cefazolin,CEFAZOLIN IV PUSH 500 MG IN SWFI 10 ML,,,,,
Cefazolin,CEFAZOLIN IV PUSH 100 MG/ML IN SWFI,,,,,
Cefazolin,CEFAZOLIN IVPB 1 GM IN NS OR D5W,,,,,
Cefazolin,CEFAZOLIN SODIUM 1 GM IJ SOLR,,,,,
Cefazolin,CEFAZOLIN SODIUM-DEXTROSE 2-4 GM/100ML-% IV SOLN,,,,,
Cefazolin,CEFAZOLIN SODIUM-DEXTROSE 1-4 GM/50ML-% IV SOLN,,,,,
Morphine,MORPHINE SULFATE 4 MG/ML IJ SOLN,,,,,
Morphine,MORPHINE SULFATE 2 MG/ML IJ SOLN,,,,,
Morphine,MORPHINE SULFATE 10 MG/5ML OR SOLN,,,,,
Morphine,MORPHINE SULFATE 15 MG OR TABS,,,,,
Morphine,MORPHINE SULFATE ER 15 MG PO TBCR,,,,,
Morphine,MORPHINE SULFATE ER 30 MG PO TBCR,,,,,
Morphine,MORPHINE SULFATE 10 MG/ML IJ SOLN,,,,,
Morphine,MORPHINE SULFATE (PF) 0.5 MG/ML IJ SOLN,,,,,
Morphine,MORPHINE 1 MG/ML PREMIX PCA INFUSION - NAIVE (UCI),,,,,
Morphine,MORPHINE 1 MG/ML PREMIX PCA INFUSION - TOLERANT (UCI),,,,,
Morphine,MORPHINE 1 MG/ML NS PREMIX INFUSION (UCI),,,,,
Morphine,MORPHINE DOSE FROM BAG (UCI),,,,,
Morphine,MORPHINE 250 MG/50 ML NS INFUSION HIGH CONCENTRATION (UCI),,,,,
Morphine,MORPHINE 100 MG/100 ML PREMIX PCA INFUSION - NAIVE (UCI),,,,,
Morphine,MORPHINE 100 MG/100 ML PREMIX PCA INFUSION - TOLERANT (UCI),,,,,
Enoxaparin,ENOXAPARIN SODIUM 30 MG/0.3ML SC SOLN,,,,,
Enoxaparin,ENOXAPARIN SODIUM 40 MG/0.4ML SC SOLN,,,,,
Enoxaparin,ENOXAPARIN SODIUM 300 MG/3ML IJ SOLN,,,,,
Enoxaparin,ENOXAPARIN SODIUM 60 MG/0.6ML SC SOLN,,,,,
Enoxaparin,ENOXAPARIN SODIUM 80 MG/0.8ML SC SOLN,,,,,
Enoxaparin,ENOXAPARIN SODIUM 100 MG/ML SC SOLN,,,,,
Enoxaparin,ENOXAPARIN SODIUM 120 MG/0.8ML SC SOLN,,,,,
Enoxaparin,ENOXAPARIN SODIUM 150 MG/ML SC SOLN,,,,,
Ibuprofen,IBUPROFEN 600 MG OR TABS,,,,,
Ibuprofen,IBUPROFEN 200 MG OR TABS,,,,,
Ibuprofen,IBUPROFEN 800 MG OR TABS,,,,,
Ibuprofen,IBUPROFEN 100 MG/5ML OR SUSP,,,,,
Chlorhexidine,CHLORHEXIDINE GLUCONATE 4 % EX LIQD,,,,,
Chlorhexidine,CHLORHEXIDINE GLUCONATE 0.12 % MT SOLN,,,,,
Benzocaine,BENZOCAINE 20 % MT SOLN,,,,,
Benzocaine,BENZOCAINE-MENTHOL 20-0.5 % EX AERO,,,,,
Benzocaine,BENZOCAINE 20 % MT GEL,,,,,
Metronidazole,METRONIDAZOLE 500 MG OR TABS,,,,,
Metronidazole,METRONIDAZOLE IN NACL 500-0.79 MG/100ML-% IV SOLN,,,,,
Metronidazole,METRONIDAZOLE IN NACL 5-0.79 MG/ML-% IV SOLN,,,,,
Metronidazole,METRONIDAZOLE 50 MG/ML OR SUSP (COMPOUNDED),,,,,
Metronidazole,METRONIDAZOLE 500 MG/100ML IV SOLN,,,,,
Metronidazole,METRONIDAZOLE 0.75 % EX GEL,,,,,
Metronidazole,METRONIDAZOLE 1 % EX GEL,,,,,
Lorazepam,LORAZEPAM 0.5 MG OR TABS,,,,,
Lorazepam,LORAZEPAM 2 MG/ML IJ SOLN,,,,,
Lorazepam,LORAZEPAM 1 MG OR TABS,,,,,
Lorazepam,LORAZEPAM 2 MG OR TABS,,,,,
Lorazepam,LORAZEPAM 100 MG/100 ML NS PREMIX INFUSION (UCI),,,,,
Lorazepam,LORAZEPAM DOSE FROM BAG (UCI),,,,,
Lorazepam,LORAZEPAM 100 MG/ 100 ML INFUSION (UCI),,,,,
Gabapentin,GABAPENTIN 100 MG OR CAPS,,,,,
Gabapentin,GABAPENTIN 300 MG OR CAPS,,,,,
Gabapentin,GABAPENTIN 400 MG OR CAPS,,,,,
Gabapentin,GABAPENTIN 600 MG OR TABS,,,,,
Gabapentin,GABAPENTIN 250 MG/5ML OR SOLN,,,,,
Fentanyl,FENTANYL 50 MCG/ML PREMIX INFUSION (UCI),,,,,
Fentanyl,FENTANYL DOSE FROM BAG (UCI),,,,,
Fentanyl,FENTANYL CITRATE (PF) 100 MCG/2ML IJ SOLN,,,,,
Fentanyl,FENTANYL CITRATE (PF) 250 MCG/5ML IJ SOLN,,,,,
Fentanyl,FENTANYL CITRATE (PF) 1000 MCG/20ML IJ SOLN,,,,,
Fentanyl,FENTANYL 500 MCG/50 ML PREMIX INFUSION (UCI),,,,,
Fentanyl,FENTANYL 50 MCG/HR TD PT72,,,,,
Fentanyl,FENTANYL 12 (12.5) MCG/HR TD PT72,,,,,
Fentanyl,FENTANYL 25 MCG/HR TD PT72,,,,,
Fentanyl,FENTANYL 75 MCG/HR TD PT72,,,,,
Fentanyl,FENTANYL 100 MCG/HR TD PT72,,,,,
Fentanyl,fentaNYL 100 MCG/2ML injection  - ADS OVERRIDE,,,,,
Diazepam,DIAZEPAM 5 MG OR TABS,,,,,
Diazepam,DIAZEPAM 10 MG OR TABS,,,,,
Diazepam,DIAZEPAM 2 MG OR TABS,,,,,
Diazepam,DIAZEPAM 5 MG/ML IJ SOLN,,,,,
Diazepam,DIAZEPAM 20 MG RE GEL,,,,,
Prednisone,PREDNISONE 5 MG OR TABS,,,,,
Prednisone,PREDNISONE 10 MG OR TABS,,,,,
Prednisone,PREDNISONE 50 MG OR TABS,,,,,
Prednisone,PREDNISONE 1 MG OR TABS,,,,,
Prednisone,PREDNISONE 2.5 MG OR TABS,,,,,
Succinylcholine,SUCCINYLCHOLINE CHLORIDE 100 MG/5ML IV SOSY,,,,,
Succinylcholine,SUCCINYLCHOLINE CHLORIDE 20 MG/ML IJ SOLN,,,,,
Succinylcholine,SUCCINYLCHOLINE CHLORIDE 100 MG/ML IJ SOLN,,,,,
Insulin,INSULIN REGULAR INFUSION,,,,,
Insulin,INSULIN LISPRO (HUMAN) 100 UNIT/ML SC SOLN,,,,,
Insulin,INSULIN GLARGINE 100 UNIT/ML SC SOLN,,,,,
Insulin,INSULIN REGULAR HUMAN 100 UNIT/ML IJ SOLN,,,,,
Insulin,INSULIN REGULAR 100 UNITS/100 ML NS INFUSION (UCI),,,,,
Insulin,INSULIN DETEMIR 100 UNIT/ML SC SOPN,,,,,
Insulin,INSULIN ASPART 100 UNIT/ML SC SOPN,,,,,
Insulin,INSULIN REGULAR IV BOLUS FROM BAG,,,,,
Insulin,INSULIN ISOPHANE HUMAN 100 UNIT/ML SC SUSP,,,,,
Insulin,INSULIN ISOPHANE & REGULAR (70-30) 100 UNIT/ML SC SUSP,,,,,
Insulin,INSULIN LISPRO (HUMAN) 100 UNIT/ML SC SOLN (UCI),,,,,
Meropenem,MEROPENEM IV 500 MG (UCI),,,,,
Meropenem,MEROPENEM IV 1000 MG (UCI),,,,,
Meropenem,MEROPENEM IV 2000 MG (UCI),,,,,
Meropenem,MEROPENEM IVPB 500 MG (UCI),,,,,
Meropenem,MEROPENEM IVPB 1 GM (UCI),,,,,
Meropenem,MEROPENEM IVPB 2 GM (UCI),,,,,
Meropenem,MEROPENEM 500 MG IV SOLR,,,,,
Pantoprazole,PANTOPRAZOLE SODIUM 40 MG OR TBEC,,,,,
Pantoprazole,PANTOPRAZOLE SODIUM 20 MG OR TBEC,,,,,
Pantoprazole,PANTOPRAZOLE SODIUM 40 MG IV SOLR,,,,,
Pantoprazole,PANTOPRAZOLE IVPB (UCI),,,,,
Pantoprazole,PANTOPRAZOLE IV BOLUS 80 MG,,,,,
Pantoprazole,PANTOPRAZOLE 80 MG/100 ML INFUSION (UCI),,,,,
Pantoprazole,PANTOPRAZOLE SODIUM 40 MG OR TBEC,,,,,
Metoprolol,METOPROLOL TARTRATE 12.5 MG OR TABS (HALF TABLET),,,,,
Metoprolol,METOPROLOL TARTRATE 25 MG OR TABS,,,,,
Metoprolol,METOPROLOL TARTRATE 50 MG OR TABS,,,,,
Metoprolol,METOPROLOL TARTRATE 5 MG/5ML IV SOLN,,,,,
Metoprolol,METOPROLOL TARTRATE 6.25 MG OR TABS (QUARTER TABLET),,,,,
Metoprolol,METOPROLOL SUCCINATE 25 MG OR TB24,,,,,
Metoprolol,METOPROLOL SUCCINATE 100 MG OR TB24,,,,,
Metoprolol,METOPROLOL SUCCINATE 12.5 MG OR TB24 (HALF TABLET),,,,,
Potassium chloride,POTASSIUM CHLORIDE CRYS CR 20 MEQ OR TBCR,,,,,
Potassium chloride,POTASSIUM CHLORIDE 20 MEQ/15ML (10%) OR SOLN,,,,,
Potassium chloride,POTASSIUM CHLORIDE IVPB 40 MEQ IN 500 ML PERIPHERAL (UCI),,,,,
Potassium chloride,POTASSIUM CHLORIDE IVPB 20 MEQ IN 250 ML PERIPHERAL (UCI),,,,,
Potassium chloride,POTASSIUM CHLORIDE IVPB 30 MEQ IN 300 ML PERIPHERAL (UCI),,,,,
Potassium chloride,POTASSIUM CHLORIDE CR 10 MEQ OR TBCR,,,,,
Potassium chloride,POTASSIUM CHLORIDE 20 MEQ/100ML IV SOLN,,,,,
Potassium chloride,POTASSIUM CHLORIDE IVPB 40 MEQ (UCI) CENTRAL LINE,,,,,
Diltiazem,DILTIAZEM HCL 30 MG OR TABS,,,,,
Diltiazem,DILTIAZEM HCL 60 MG OR TABS,,,,,
Diltiazem,DILTIAZEM HCL 90 MG OR TABS,,,,,
Diltiazem,DILTIAZEM HCL 5 MG/ML IV SOLN,,,,,
Diltiazem,DILTIAZEM HCL 25 MG/5ML IV SOLN,,,,,
Diltiazem,DILTIAZEM 100 MG/100 ML INFUSION (UCI),,,,,
Diltiazem,DILTIAZEM HCL COATED BEADS 120 MG OR CP24,,,,,
Diltiazem,DILTIAZEM HCL COATED BEADS 180 MG OR CP24,,,,,
Diltiazem,DILTIAZEM HCL CR 90 MG OR CP12,,,,,
Verapamil,VERAPAMIL HCL 2.5 MG/ML IV SOLN,,,,,
Verapamil,VERAPAMIL HCL 40 MG OR TABS,,,,,
Verapamil,VERAPAMIL HCL CR 240 MG OR TBCR,,,,,
Verapamil,VERAPAMIL HCL CR 120 MG OR TBCR,,,,,
Amiodarone,AMIODARONE 150 MG/100 ML D5W IVPB (UCI),,,,,
Amiodarone,AMIODARONE 360 MG/250 ML D5W LOADING INFUSION (UCI),,,,,
Amiodarone,AMIODARONE 540 MG/250 ML D5W MAINTENANCE INFUSION (UCI),,,,,
Amiodarone,AMIODARONE HCL 200 MG OR TABS,,,,,
Amiodarone,AMIODARONE HCL 100 MG OR TABS,,,,,
Amiodarone,AMIODARONE HCL 150 MG/3ML IV SOLN,,,,,
Amiodarone,AMIODARONE INFUSION (ANESTHESIA) (UCI),,,,,
Amiodarone,AMIODARONE 540 MG/500 ML D5W MAINTENANCE INFUSION FOR PERIPHERAL LINE (UCI),,,,,
Aztreonam,AZTREONAM IV PUSH 2 GM IN SWFI 10 ML,,,,,
Aztreonam,AZTREONAM IV PUSH 1 GM IN SWFI 10 ML,,,,,
Aztreonam,AZTREONAM IV 1 GM,,,,,
Aztreonam,AZTREONAM IV PUSH 100 MG/ML IN SWFI,,,,,
Lisinopril,LISINOPRIL 20 MG OR TABS,,,,,
Lisinopril,LISINOPRIL-HYDROCHLOROTHIAZIDE 10-12.5 MG OR TABS,,,,,
Lisinopril,LISINOPRIL-HYDROCHLOROTHIAZIDE 20-12.5 MG OR TABS,,,,,
Lisinopril,LISINOPRIL-HYDROCHLOROTHIAZIDE 20-25 MG OR TABS,,,,,
Oxycodone; Acetaminophen,OXYCODONE-ACETAMINOPHEN 5-325 MG OR TABS,,,,,
Oxycodone; Acetaminophen,OXYCODONE-ACETAMINOPHEN 10-325 MG OR TABS,,,,,
Oxycodone; Acetaminophen,OXYCODONE HCL 5 MG OR TABS,,,,,
Dexmedetomidine,DEXMEDETOMIDINE 200 MCG/50 ML NS INFUSION (UCI),,,,,
Dexmedetomidine,DEXMEDETOMIDINE HCL 200 MCG/2ML IV SOLN,,,,,
Dexmedetomidine,DEXMEDETOMIDINE 400 MCG/100 ML NS INFUSION (UCI),,,,,
Dexmedetomidine,DEXMEDETOMIDINE 1000 MCG/250 ML NS INFUSION (UCI),,,,,
Dexmedetomidine,DEXMEDETOMIDINE HCL IN NACL 400 MCG/100ML IV SOLN,,,,,
Antithymocyte Globulin,ANTITHYMOCYTE GLOBULIN (RABBIT) IVPB (UCI),,,,,
Antithymocyte Globulin,ANTITHYMOCYTE GLOBULIN (RABBIT) IVPB IN 500 ML (UCI),,,,,
Antithymocyte Globulin,ANTITHYMOCYTE GLOBULIN (RABBIT) IVPB IN 150 M (UCI),,,,,
Antithymocyte Globulin,ANTI-THYMOCYTE GLOB (RABBIT) 25 MG IV SOLR,,,,,
Calcium gluconate,CALCIUM GLUCONATE 2 G IVPB (UCI),,,,,
Calcium gluconate,CALCIUM GLUCONATE 1 G IVPB (UCI),,,,,
Calcium gluconate,CALCIUM GLUCONATE 3 G IVPB (UCI),,,,,
Calcium gluconate,CALCIUM GLUCONATE 4 G IVPB (UCI),,,,,
Calcium gluconate,CALCIUM GLUCONATE 10 % IV SOLN,,,,,
Calcium gluconate,CALCIUM GLUCONATE 1G/100ML IV SOLN,,,,,
Calcium gluconate,CALCIUM GLUCONATE 2G/100 ML IV SOLN,,,,,
Serum Albumin; Colloid,ALBUMIN HUMAN 5 % IV SOLN,,,,,
Serum Albumin; Colloid,ALBUMIN HUMAN 25 % IV SOLN,,,,,
Serum Albumin; Colloid,ALBUMIN HUMAN 5 % IV SOLN BURN (UCI),,,,,
Serum Albumin; Colloid,ALBUMIN HUMAN 25 % IV SOLN (UCI),,,,,
Methylprednisolone,METHYLPREDNISOLONE IVPB 500 MG (UCI),,,,,
Methylprednisolone,METHYLPREDNISOLONE SODIUM SUCC 40 MG IJ SOLR,,,,,
Methylprednisolone,METHYLPREDNISOLONE SODIUM SUCC 125 MG IJ SOLR,,,,,
Methylprednisolone,METHYLPREDNISOLONE IVPB 1000 MG (UCI),,,,,
Methylprednisolone,METHYLPREDNISOLONE 4 MG OR TABS,,,,,
Methylprednisolone,METHYLPREDNISOLONE 32 MG OR TABS,,,,,
Methylprednisolone,METHYLPREDNISOLONE ACETATE 40 MG/ML IJ SUSP,,,,,
Methylprednisolone,METHYLPREDNISOLONE ACETATE 80 MG/ML IJ SUSP,,,,,
Isosorbide Dinitrate,ISOSORBIDE DINITRATE 5 MG OR TABS,,,,,
Isosorbide Dinitrate,ISOSORBIDE DINITRATE 20 MG OR TABS,,,,,
Albuterol,ALBUTEROL SULFATE 108 (90 BASE) MCG/ACT IN AERS,,,,,
Albuterol,ALBUTEROL SULFATE (2.5 MG/3ML) 0.083% IN NEBU,,,,,
Albuterol,ALBUTEROL SULFATE (5 MG/ML) 0.5% IN NEBU,,,,,
Albuterol,IPRATROPIUM-ALBUTEROL 0.5-2.5 (3) MG/3ML IN SOLN,,,,,
Albuterol,IPRATROPIUM-ALBUTEROL 20-100 MCG/ACT IN AERS,,,,,
Diphenhydramine,DIPHENHYDRAMINE HCL 25 MG OR TABS OR CAPS,,,,,
Diphenhydramine,DIPHENHYDRAMINE HCL 50 MG/ML IJ SOLN,,,,,
Diphenhydramine,DIPHENHYDRAMINE HCL 12.5 MG/5ML OR ELIX,,,,,
Diphenhydramine,DIPHENHYDRAMINE HCL 12.5 MG/5ML OR LIQD,,,,,
Diphenhydramine,DIPHENHYDRAMINE IVPB (UCI),,,,,
Scopolamine,SCOPOLAMINE 1 MG/3DAYS TD PT72,,,,,
Nifedipine,NIFEDIPINE 30 MG OR TB24,,,,,
Nifedipine,NIFEDIPINE 90 MG OR TB24,,,,,
Nifedipine,NIFEDIPINE 10 MG OR CAPS,,,,,
Nifedipine,NIFEDIPINE 20 MG OR CAPS,,,,,
Nifedipine,NIFEDIPINE CR OSMOTIC 30 MG OR TB24,,,,,
Nifedipine,NIFEDIPINE CR OSMOTIC 90 MG OR TB24,,,,,
Hydroxyzine,HYDROXYZINE HCL 25 MG OR TABS,,,,,
Hydroxyzine,HYDROXYZINE HCL 10 MG OR TABS,,,,,
Hydroxyzine,HYDROXYZINE HCL 10 MG/5ML OR SYRP,,,,,
Hydroxyzine,HYDROXYZINE HCL 25 MG/ML IM SOLN,,,,,
Cyclobenzaprine,CYCLOBENZAPRINE HCL 5 MG OR TABS,,,,,
Cyclobenzaprine,CYCLOBENZAPRINE HCL 10 MG OR TABS,,,,,
Carvedilol,CARVEDILOL 3.125 MG OR TABS,,,,,
Carvedilol,CARVEDILOL 12.5 MG OR TABS,,,,,
Carvedilol,CARVEDILOL 1.5625 MG OR TABS (HALF TABLET),,,,,
Carvedilol,CARVEDILOL PHOSPHATE 20 MG OR CP24,,,,,
Rocuronium,ROCURONIUM BROMIDE 50 MG/5ML IV SOSY,,,,,
Rocuronium,ROCURONIUM BROMIDE 50 MG/5ML IV SOLN,,,,,
Rocuronium,ROCURONIUM BROMIDE 100 MG/10ML IV SOLN,,,,,
Oxycodone,OXYCODONE HCL 5 MG OR TABS,,,,,
Oxycodone,OXYCODONE HCL 15 MG OR TABS,,,,,
Oxycodone,OXYCODONE HCL 5 MG/5ML OR SOLN,,,,,
Oxycodone,OXYCODONE HCL ER 20 MG PO T12A,,,,,
Oxycodone,OXYCODONE HCL ER 10 MG PO T12A,,,,,
Oxycodone,OXYCODONE HCL ER 40 MG PO T12A,,,,,
Octreotide,OCTREOTIDE ACETATE 100 MCG/ML IJ SOLN,,,,,
Octreotide,OCTREOTIDE ACETATE 50 MCG/ML IJ SOLN,,,,,
Octreotide,OCTREOTIDE ACETATE 500 MCG/ML IJ SOLN,,,,,
Octreotide,OCTREOTIDE ACETATE 1000 MCG/ML IJ SOLN,,,,,
Octreotide,OCTREOTIDE ACETATE 20 MG IM KIT,,,,,
Octreotide,OCTREOTIDE IN NS INFUSION (VARIABLE CONCENTRATION) (UCI),,,,,
Octreotide,OCTREOTIDE LOADING DOSE FROM BAG,,,,,
Octreotide,OCTREOTIDE IVPB (UCI),,,,,
Lidocaine,LIDOCAINE HCL (PF) 1 % IJ SOLN,,,,,
Lidocaine,LIDOCAINE HCL 1 % IJ SOLN,,,,,
Lidocaine,LIDOCAINE HCL 2 % IJ SOLN,,,,,
Lidocaine,LIDOCAINE HCL 4 % EX SOLN,,,,,
Lidocaine,LIDOCAINE 5 % EX PTCH,,,,,
Lidocaine,LIDOCAINE HCL 2 % EX GEL,,,,,
Lidocaine,LIDOCAINE VISCOUS 2 % MT SOLN,,,,,
Lidocaine,LIDOCAINE HCL 4 % MT SOLN,,,,,
Lidocaine,LIDOCAINE HCL (PF) 2 % IJ SOLN,,,,,
Lidocaine,LIDOCAINE HCL (PF) 4 % IJ SOLN,,,,,
Lidocaine,LIDOCAINE IN NS 100 ML (UCI),,,,,
Lidocaine,LIDOCAINE 1 G/250 ML NS INFUSION (UCI),,,,,
Lidocaine,LIDOCAINE 2 G/250 ML INFUSION (UCI),,,,,
Losartan,LOSARTAN POTASSIUM 50 MG OR TABS,,,,,
Losartan,LOSARTAN POTASSIUM 25 MG OR TABS,,,,,
Losartan,LOSARTAN POTASSIUM 12.5 MG OR TABS (HALF TABLET),,,,,
Losartan,LOSARTAN POTASSIUM-HCTZ 50-12.5 MG OR TABS,,,,,
Azithromycin,AZITHROMYCIN IVPB 500 MG,,,,,
Azithromycin,AZITHROMYCIN 500 MG IN 250 ML NS ADDEASE IVPB (UCI),,,,,
Azithromycin,AZITHROMYCIN 250 MG OR TABS,,,,,
Azithromycin,AZITHROMYCIN 200 MG/5ML OR SUSR,,,,,
Azithromycin,AZITHROMYCIN 600 MG OR TABS,,,,,
Azithromycin,AZITHROMYCIN IVPB 250 MG (UCI),,,,,
Azithromycin,AZITHROMYCIN IVPB 500 MG (UCI),,,,,
Folic acid,FOLIC ACID 1 MG OR TABS,,,,,
Folic acid,FOLIC ACID 5 MG/ML IJ SOLN,,,,,
Folic acid,FOLIC ACID 400 MCG OR TABS,,,,,
Folic acid,FOLIC ACID 200 MCG/ML ORAL SOLN (UCI COMPOUNDED),,,,,
Folic acid,FOLIC ACID IVPB (UCI),,,,,
Atropine,ATROPINE SULFATE 1 MG/10ML IJ SOSY,,,,,
Atropine,ATROPINE SULFATE 1 % OP SOLN,,,,,
Atropine,ATROPINE SULFATE 0.4 MG/ML IJ SOLN,,,,,
Vancomycin,VANCOMYCIN IVPB (VARIABLE DOSES IN 250 ML) - 1250 MG (UCI),,,,,
Vancomycin,VANCOMYCIN HCL IN NACL 750-0.9 MG/150ML-% IV SOLN,,,,,
Vancomycin,VANCOMYCIN IVPB 1 GM (UCI),,,,,
Vancomycin,VANCOMYCIN HCL 500 MG IV SOLR,,,,,
Vancomycin,VANCOMYCIN HCL 1 GM IV SOLR,,,,,
Vancomycin,VANCOMYCIN IVPB (VARIABLE DOSES IN 100 ML),,,,,
Vancomycin,VANCOMYCIN IVPB (VARIABLE DOSES IN 300 ML) (UCI),,,,,
Vancomycin,VANCOMYCIN IVPB 1000 MG IN 100 ML NS - NEUROSURGERY (UCI),,,,,
Vancomycin,VANCOMYCIN 25 MG/ML OPHTHALMIC SOLN (COMPOUNDED),,,,,
Vancomycin,VANCOMYCIN 50 MG/ML OPHTHALMIC SOLN (COMPOUNDED),,,,,
Vancomycin,VANCOMYCIN 50 MG/ML ORAL SOLN (COMPOUNDED),,,,,
Vancomycin,VANCOMYCIN PER PHARMACY (UCI),,,,,
Vancomycin,VANCOMYCIN 1000 MG IN 250 ML NS ADDEASE IVPB (UCI),,,,,
Vancomycin,VANCOMYCIN 1000 MG IN 250 ML NS ADDEASE IVPB (UCI),,,,,
Glucose,DEXTROSE 50 % IV SOLN,,,,,
Glucose,DEXTROSE 5 % IV SOLN,,,,,
Glucose,DEXTROSE 10 % IV SOLN,,,,,
Glucose,DEXTROSE 20 % IV SOLN,,,,,
Glucose,DEXTROSE-NACL 5-0.9 % IV SOLN,,,,,
Glucose,DEXTROSE-NACL 5-0.45 % IV SOLN,,,,,
Glucose,DEXTROSE 50% INFUSION,,,,,
Glucose,DEXTROSE IN LACTATED RINGERS 5 % IV SOLN,,,,,
Glucose,DEXTROSE 10% + SODIUM CHLORIDE 0.9% + ADDITIVES (UCI),,,,,
Methadone,METHADONE HCL 5 MG OR TABS,,,,,
Methadone,METHADONE HCL 10 MG OR TABS,,,,,
Methadone,METHADONE HCL 10 MG/5ML OR SOLN,,,,,
Methadone,METHADONE HCL 10 MG/ML IJ SOLN (UCI),,,,,
Magnesium hydroxide,MAGNESIUM HYDROXIDE 400 MG/5ML OR SUSP,,,,,
Magnesium hydroxide,ALUM & MAG HYDROXIDE-SIMETH 400-400-40 MG/5ML OR SUSP,,,,,
Magnesium hydroxide,ALUM & MAG HYDROXIDE-SIMETH 200-200-20 MG/5ML OR SUSP,,,,,
Fluticasone,FLUTICASONE PROPIONATE 50 MCG/ACT NA SUSP,,,,,
Fluticasone,FLUTICASONE PROPIONATE HFA 110 MCG/ACT IN AERO,,,,,
Fluticasone,FLUTICASONE PROPIONATE HFA 220 MCG/ACT IN AERO,,,,,
Fluticasone,FLUTICASONE PROPIONATE HFA 44 MCG/ACT IN AERO,,,,,
Fluticasone,FLUTICASONE-SALMETEROL 500-50 MCG/DOSE IN MISC,,,,,
Fluticasone,FLUTICASONE-SALMETEROL 250-50 MCG/DOSE IN MISC,,,,,
