sinai_lab,mover_lab,,,,,
UNMATCHED,Valproate,,,,,
UNMATCHED,Thyroxine.free,,,,,
UNMATCHED,Hepatitis C virus Ab,,,,,
UNMATCHED,Coccidioides immitis Ab.IgM,,,,,
UNMATCHED,Trypanosoma cruzi Ab.IgG,,,,,
UNMATCHED,West Nile virus Ab.IgM,,,,,
UNMATCHED,Histoplasma capsulatum Ag,,,,,
UNMATCHED,Spermatozoa,,,,,
UNMATCHED,Burr cells,,,,,
UNMATCHED,levETIRAcetam,,,,,
UNMATCHED,Osmolality,,,,,
UNMATCHED,Cells.CD3+CD8+,,,,,
UNMATCHED,Trypanosoma cruzi Ab.IgM,,,,,
UNMATCHED,Treponema pallidum Ab.IgG+IgM,,,,,
UNMATCHED,Elliptocytes,,,,,
UNMATCHED,Neisseria gonorrhoeae DNA,,,,,
UNMATCHED,Mycoplasma pneumoniae Ab.IgG,,,,,
UNMATCHED,XXX microorganism DNA,,,,,
UNMATCHED,Cells.CD3/100 cells,,,,,
UNMATCHED,Cholesterol.in VLDL,,,,,
UNMATCHED,HLA-B*57:01,,,,,
UNMATCHED,Mitogen stimulated gamma interferon^^corrected for background,,,,,
UNMATCHED,Cells.CD3+CD8+/100 cells,,,,,
UNMATCHED,Cells.CD3+CD4+/100 cells,,,,,
UNMATCHED,Cholesterol.non HDL,,,,,
UNMATCHED,Dohle body,,,,,
UNMATCHED,Cytomegalovirus Ab.IgG,,,,,
UNMATCHED,Hyaline casts,,,,,
UNMATCHED,Toxoplasma gondii Ab.IgG,,,,,
UNMATCHED,Strongyloides stercoralis Ab.IgG,,,,,
UNMATCHED,Mycobacterium tuberculosis tuberculin stimulated gamma interferon/Mitogen stimulated gamma interferon,,,,,
UNMATCHED,Hepatitis A virus Ab.IgG,,,,,
UNMATCHED,Benzodiazepines,,,,,
UNMATCHED,Vancomycin,,,,,
UNMATCHED,Opiates,,,,,
UNMATCHED,Phencyclidine,,,,,
UNMATCHED,Mycoplasma pneumoniae Ab.IgM,,,,,
UNMATCHED,Specimen source,,,,,
UNMATCHED,Propoxyphene,,,,,
UNMATCHED,Acetaminophen,,,,,
UNMATCHED,Specimen-related information panel,,,,,
UNMATCHED,Streptococcus pneumoniae Ag,,,,,
UNMATCHED,Collection duration,,,,,
UNMATCHED,Amphetamine,,,,,
UNMATCHED,Glucose-6-Phosphate dehydrogenase,,,,,
UNMATCHED,Nuclear Ab,,,,,
UNMATCHED,Cells.CD3,,,,,
UNMATCHED,Platelet function.collagen+Adenosine diphosphate induced,,,,,
UNMATCHED,Platelet function.collagen+EPINEPHrine induced,,,,,
UNMATCHED,Cells.CD3+CD4+,,,,,
UNMATCHED,Mycobacterium tuberculosis tuberculin stimulated gamma interferon,,,,,
UNMATCHED,Glutamate decarboxylase 65 Ab,,,,,
UNMATCHED,Hepatitis A virus Ab.IgM,,,,,
UNMATCHED,IgG,,,,,
UNMATCHED,Karyotype,,,,,
UNMATCHED,HIV susceptibility panel,,,,,
UNMATCHED,Epstein Barr virus capsid Ab.IgG,,,,,
UNMATCHED,Epstein Barr virus early Ab.IgG,,,,,
UNMATCHED,Herpes simplex virus 2 Ab.IgG,,,,,
UNMATCHED,Epstein Barr virus nuclear Ab.IgG,,,,,
UNMATCHED,Clostridioides difficile toxin genes,,,,,
UNMATCHED,Mycobacterium tuberculosis stimulated gamma interferon release by CD4+ T-cells^^corrected for background,,,,,
UNMATCHED,Direct antiglobulin test.poly specific reagent,,,,,
UNMATCHED,Thyroperoxidase Ab,,,,,
UNMATCHED,Platelets.giant,,,,,
UNMATCHED,Beta hydroxybutyrate,,,,,
UNMATCHED,Drugs identified,,,,,
UNMATCHED,Hepatitis B virus core Ab.IgM,,,,,
UNMATCHED,Cryptococcus sp Ag,,,,,
UNMATCHED,"1,3 beta glucan",,,,,
UNMATCHED,Haptoglobin,,,,,
UNMATCHED,Choriogonadotropin.beta subunit,,,,,
UNMATCHED,Folate,,,,,
UNMATCHED,IgG subclass 2,,,,,
UNMATCHED,IgG subclass 3,,,,,
UNMATCHED,Salicylates,,,,,
UNMATCHED,Cytomegalovirus DNA,,,,,
UNMATCHED,Reagin Ab,,,,,
UNMATCHED,Cells.CD3+CD4+/Cells.CD3+CD8+,,,,,
UNMATCHED,DNA double strand Ab,,,,,
UNMATCHED,Macrocytes,,,,,
UNMATCHED,IgM,,,,,
UNMATCHED,Thyroxine free index,,,,,
UNMATCHED,Thyroglobulin Ab,,,,,
UNMATCHED,Triiodothyronine,,,,,
UNMATCHED,IgA,,,,,
UNMATCHED,IgG subclass 1,,,,,
UNMATCHED,Chlamydia trachomatis DNA,,,,,
UNMATCHED,Buprenorphine,,,,,
UNMATCHED,Meperidine,,,,,
UNMATCHED,Specimen volume,,,,,
UNMATCHED,Hepatitis C virus genotype,,,,,
UNMATCHED,Troponin T.cardiac,,,,,
UNMATCHED,Thyroid stimulating immunoglobulins,,,,,
UNMATCHED,Neutrophils.vacuolated,,,,,
UNMATCHED,Platelet factor 4 heparin complex induced Ab.IgG,,,,,
UNMATCHED,Alpha 2 globulin/Protein.total,,,,,
UNMATCHED,Beta globulin/Protein.total,,,,,
UNMATCHED,Myelin associated glycoprotein Ab.IgM,,,,,
UNMATCHED,Alpha 1 globulin,,,,,
UNMATCHED,Gamma globulin,,,,,
UNMATCHED,Immunoglobulin light chains.kappa.free/Immunoglobulin light chains.lambda.free,,,,,
UNMATCHED,Hepatitis C virus RNA,,,,,
UNMATCHED,Urea,,,,,
UNMATCHED,Triple phosphate crystals,,,,,
UNMATCHED,Alpha 1 globulin/Protein.total,,,,,
UNMATCHED,Prostate specific Ag,,,,,
UNMATCHED,Digoxin,,,,,
UNMATCHED,Other cells/100 leukocytes,,,,,
UNMATCHED,Copper,,,,,
UNMATCHED,Blasts,,,,,
UNMATCHED,von Willebrand factor cleaving protease actual/normal,,,,,
UNMATCHED,Blood smear finding,,,,,
UNMATCHED,Clostridioides difficile toxin A+B,,,,,
UNMATCHED,Cortisol^baseline,,,,,
UNMATCHED,Alpha-1-Fetoprotein,,,,,
UNMATCHED,IgG subclass 4,,,,,
UNMATCHED,Immunoglobulin light chains.lambda.free,,,,,
UNMATCHED,Cancer Ag 19-9,,,,,
UNMATCHED,Composition,,,,,
UNMATCHED,Cortisol,,,,,
UNMATCHED,fentaNYL,,,,,
UNMATCHED,traMADol,,,,,
UNMATCHED,Blasts/100 leukocytes,,,,,
UNMATCHED,Other cells,,,,,
UNMATCHED,Prostate specific Ag.free,,,,,
UNMATCHED,Albumin/Globulin,,,,,
UNMATCHED,Sulfate-3-Glucuronyl paragloboside Ab.IgM,,,,,
UNMATCHED,Immunoglobulin light chains.kappa.free,,,,,
UNMATCHED,Number,,,,,
UNMATCHED,Promyelocytes,,,,,
UNMATCHED,Promyelocytes/100 leukocytes,,,,,
UNMATCHED,Coagulation factor VIII activity actual/Normal,,,,,
UNMATCHED,Carcinoembryonic Ag,,,,,
UNMATCHED,Epstein Barr virus DNA,,,,,
UNMATCHED,Prostate specific Ag.free/Prostate specific Ag.total,,,,,
UNMATCHED,Gamma globulin/Protein.total,,,,,
UNMATCHED,Beta-2-Microglobulin,,,,,
UNMATCHED,Interpretation,,,,,
UNMATCHED,Alpha 2 globulin,,,,,
UNMATCHED,Beta globulin,,,,,
UNMATCHED,Cells counted.total,,,,,
UNMATCHED,Cortisol^1H post dose corticotropin,,,,,
UNMATCHED,Cortisol^30M post dose corticotropin,,,,,
UNMATCHED,oxyCODONE,,,,,
UNMATCHED,Serotonin release.heparin.porcine interpretation,,,,,
UNMATCHED,Specimen weight,,,,,
UNMATCHED,Size,,,,,
UNMATCHED,Serotonin release 100 IU/mL heparin.unfractionated,,,,,
UNMATCHED,Serotonin release 0.1 IU/mL heparin.unfractionated,,,,,
UNMATCHED,Test performance information,,,,,
UNMATCHED,Basophilic stippling,,,,,
UNMATCHED,Adenosine deaminase,,,,,
UNMATCHED,Reference lab test method,,,,,
UNMATCHED,Acanthocytes,,,,,
UNMATCHED,TPMT gene product metabolic activity interpretation,,,,,
UNMATCHED,Howell-Jolly bodies,,,,,
UNMATCHED,Crystals,,,,,
UNMATCHED,Lithium,,,,,
UNMATCHED,Heterophile Ab,,,,,
UNMATCHED,Amikacin^peak,,,,,
UNMATCHED,Complement total hemolytic CH50,,,,,
UNMATCHED,Rheumatoid factor,,,,,
UNMATCHED,Varicella zoster virus DNA,,,,,
UNMATCHED,Enolase.neuron specific,,,,,
UNMATCHED,Treponema pallidum Ab,,,,,
UNMATCHED,Ceruloplasmin,,,,,
UNMATCHED,Helicobacter pylori Ab.IgG,,,,,
UNMATCHED,Calcitriol,,,,,
UNMATCHED,Topiramate,,,,,
UNMATCHED,Citrate/Creatinine,,,,,
UNMATCHED,Basement membrane Ab.IgG,,,,,
UNMATCHED,Hepatitis B virus little e Ab,,,,,
UNMATCHED,Microalbumin/Creatinine ratio panel,,,,,
UNMATCHED,PhenX - urinary creatinine assay for kidney function protocol 141601,,,,,
UNMATCHED,Pappenheimer bodies,,,,,
UNMATCHED,Choriogonadotropin (pregnancy test),,,,,
UNMATCHED,Cryoglobulin/Serum.total,,,,,
